provider,supportedSecret,secretType,isPublic,hasPushProtection,hasValidityCheck,hasExtendedMetadata,base64Supported
Langchain,LangSmith Personal Access Token,langchain_api_personal_key,False,True,False,False,False
Langchain,LangSmith Service Key,langchain_api_server_key,False,True,False,False,False
Langchain,LangSmith License Key,langsmith_license_key,False,True,False,False,False
Langchain,LangSmith SCIM Bearer Token,langsmith_scim_bearer_token,False,True,False,False,False
Lark,Lark APaaS Client Secret,lark_apaas_client_secret,True,True,False,False,False
Lark,Lark Application Secret,lark_app_secret,True,False,False,False,False
Lark,Lark MCP Grant Token,lark_mcp_grant_token,True,False,False,False,False
Lark,Lark Meego Plugin Secret,lark_meego_plugin_secret,True,True,False,False,False
Lark,Lark User Session,lark_user_session,True,True,False,False,False
Lichess,Lichess OAuth Access Token,lichess_oauth_access_token,True,True,True,False,False
Lichess,Lichess Personal Access Token,lichess_personal_access_token,True,True,True,False,False
Lightspeed,Lightspeed Personal Access Token,lightspeed_xs_pat,False,True,False,False,False
Limbar,Limbar Token,limbar_token,True,True,False,False,False
Localstack,Localstack API Key,localstack_api_key,True,True,False,False,False
LogicMonitor,LogicMonitor Bearer Token,logicmonitor_bearer_token,True,True,False,False,False
LogicMonitor,LogicMonitor LMv1 Access Key,logicmonitor_lmv1_access_key,True,True,False,False,False
Login with Amazon,Login with Amazon OAuth Client ID,"amazon_oauth_client_id, </br>amazon_oauth_client_secret",True,True,False,False,False
Mailersend,Mailersend API Token,mailersend_api_token,True,False,False,False,False
Mailersend,Mailersend SMTP Password,mailersend_smtp_password,True,False,False,False,False
Mailersend,Mailersend SMTP Username,mailersend_smtp_username,True,False,False,False,False
Mercury,Mercury Non-Production API Token,mercury_non_production_api_token,True,True,True,False,False
Mercury,Mercury Production API Token,mercury_production_api_token,True,True,True,False,False
Mergify,Mergify Application Key,mergify_application_key,True,True,False,False,False
Midtrans,Midtrans Production Server Key,midtrans_production_server_key,False,True,True,False,False
Midtrans,Midtrans Sandbox Server Key,midtrans_sandbox_server_key,False,False,True,False,False
Mistral AI,Mistral AI API Key,mistral_ai_api_key,False,False,False,False,False
MongoDB,MongoDB Atlas Database URI with credentials,mongodb_atlas_db_uri_with_credentials,True,False,True,False,False
MongoDB,MongoDB Atlas Service Account Secret,mongodb_atlas_service_account_secret,True,True,False,False,False
Naver Cloud,Naver Cloud Gov Access Key ID,navercloud_gov_access_key,True,True,False,False,False
Naver Cloud,Naver Cloud Gov Secret Key,navercloud_gov_access_key_secret,True,True,False,False,False
Naver Cloud,Naver Cloud Gov Secure Token Service,navercloud_gov_sts,True,True,False,False,False
Naver Cloud,Naver Cloud Gov Secure Token Service Secret,navercloud_gov_sts_secret,True,True,False,False,False
Naver Cloud,Naver Cloud Access Key ID,navercloud_pub_access_key,True,True,False,False,False
Naver Cloud,Naver Cloud Secret Key,navercloud_pub_access_key_secret,True,True,False,False,False
Naver Cloud,Naver Cloud Secure Token Service,navercloud_pub_sts,True,True,False,False,False
